Tåguppdrag,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag
2217.0,U,Söc
8455.0,Gä,U
2208.0,Söc,U
2238.0,Söc,U
2228.0,Söc,U
8522.0,U,Sl
2229.0,U,Söc
580.0,Lp,Suc
579.0,Suc,Cst
891.0,U,Cst
17.0,Fln,Cst
57.0,Blg,Cst
812.0,Cst,U
8521.0,Sl,U
281.0,Ls,Lp
2253.0,U,Söc
859.0,U,Cst
