Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
20.0,2019-03-22,RST,FJÄRR,Passage,Passage,0,-,0,-,32,Cst,Fln,Avesta Centrum,Acm,Snickarbo,Snb,2019-03-22 15:24:00.000,2019-03-22 15:28:00.000,2019-03-22 15:30:00.000,,2019-03-22 15:24:00.000,2019-03-22 15:25:00.000,0.0,,4,,,,2.0,
20.0,2019-03-23,RST,FJÄRR,Passage,Passage,0,-,0,-,7,Cst,Fln,Kummelby,Kmy,Sollentuna,Sol,2019-03-23 13:53:00.000,2019-03-23 13:53:00.000,2019-03-23 13:53:00.000,2019-03-23 13:52:00.000,2019-03-23 13:53:00.000,2019-03-23 13:52:00.000,0.0,0.0,0,1.0,1.0,-1.0,0.0,0.0
20.0,2019-03-28,RST,FJÄRR,Passage,Passage,0,-,0,-,7,Cst,Fln,Kummelby,Kmy,Sollentuna,Sol,2019-03-28 13:53:00.000,2019-03-28 13:53:00.000,2019-03-28 13:53:00.000,2019-03-28 13:52:00.000,2019-03-28 13:53:00.000,2019-03-28 13:52:00.000,0.0,0.0,0,1.0,1.0,-1.0,0.0,0.0
20.0,2019-03-22,RST,FJÄRR,Passage,Passage,0,-,0,-,24,Cst,Fln,Järlåsa,Jla,Morgongåva,Må,2019-03-22 14:39:00.000,2019-03-22 14:48:00.000,2019-03-22 14:48:00.000,2019-03-22 14:41:00.000,2019-03-22 14:39:00.000,2019-03-22 14:41:00.000,0.0,0.0,9,7.0,-2.0,2.0,0.0,0.0
20.0,2019-03-19,RST,FJÄRR,Passage,Passage,0,-,0,-,8,Cst,Fln,Sollentuna,Sol,Häggvik,Hgv,2019-03-19 13:53:00.000,2019-03-19 13:54:00.000,2019-03-19 13:53:00.000,2019-03-19 13:52:00.000,2019-03-19 13:53:00.000,2019-03-19 13:52:00.000,0.0,0.0,1,1.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-18,RST,FJÄRR,Passage,Passage,0,-,0,-,8,Cst,Fln,Sollentuna,Sol,Häggvik,Hgv,2019-03-18 13:53:00.000,2019-03-18 13:54:00.000,2019-03-18 13:53:00.000,2019-03-18 13:52:00.000,2019-03-18 13:53:00.000,2019-03-18 13:52:00.000,0.0,0.0,1,1.0,0.0,-1.0,-1.0,0.0
20.0,2019-03-06,RST,FJÄRR,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,20,Cst,Fln,Säby,Säy,Uppsala c,U,2019-03-06 14:20:00.000,2019-03-06 14:24:00.000,2019-03-06 14:22:00.000,2019-03-06 14:19:00.000,2019-03-06 14:20:00.000,2019-03-06 14:19:00.000,0.0,0.0,4,3.0,-1.0,-1.0,-2.0,0.0
20.0,2019-03-27,RST,FJÄRR,Passage,Passage,0,-,0,-,25,Cst,Fln,Morgongåva,Må,Heby,Hy,2019-03-27 14:48:00.000,2019-03-27 14:50:00.000,2019-03-27 14:51:00.000,2019-03-27 14:48:00.000,2019-03-27 14:48:00.000,2019-03-27 14:48:00.000,0.0,0.0,2,3.0,1.0,0.0,1.0,0.0
20.0,2019-03-07,RST,FJÄRR,Passage,Uppehåll,0,-,0,-,37,Cst,Fln,Gustafs,Gtf,Stora Tuna,Sau,2019-03-07 15:54:00.000,2019-03-07 15:57:00.000,2019-03-07 15:58:00.000,2019-03-07 15:55:00.000,2019-03-07 15:54:00.000,2019-03-07 15:55:00.000,0.0,0.0,3,3.0,0.0,1.0,1.0,0.0
20.0,2019-03-04,RST,FJÄRR,Passage,Uppehåll,0,-,0,-,37,Cst,Fln,Gustafs,Gtf,Stora Tuna,Sau,2019-03-04 15:54:00.000,2019-03-04 15:57:00.000,2019-03-04 15:58:00.000,2019-03-04 15:55:00.000,2019-03-04 15:54:00.000,2019-03-04 15:55:00.000,0.0,0.0,3,3.0,0.0,1.0,1.0,0.0
