,Morgongåva,Brunna,Falun,Ulriksdal,Tomteboda övre,Säter,Heby,Arlanda nedre,Stockholm C,Helenelund,Ekeby,Vikmanshyttan,Uppsala norra,Uppsala c,Broddbo,Solna,Avesta Krylbo,Kummelby,Avesta Centrum,Järlåsa,Rotebro,Säby,Snickarbo,Arlanda Central,Skavstaby,Häggvik,Sollentuna,Ornäs,Hinsnoret,Upplands Väsby,Blackvreten,Knivsta,Norrviken,Isätra,Sala,Rosshyttan,Gustafs,Myrbacken,Stora Tuna,Borlänge c,Karlberg,Hedemora
Snickarbo,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,2
Arlanda Central,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0
Skavstaby,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Häggvik,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0,0.0,0
Sollentuna,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Ornäs,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Hinsnoret,0,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Upplands Väsby,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Blackvreten,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
Knivsta,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0
